id,title,Publish Time,Mission,Methods,Object
12,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.6391X"", ""From images to features: unbiased morphology classification via variational auto-encoders and domain adaptation"")",2023-12-1,Object Classification,VAE,Galaxies
13,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.5735T"", ""In situ or accreted? Using deep learning to infer the origin of extragalactic globular clusters from observables"")",2023-12-1,Object Classification,NN:MLP,Star Clusters
14,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.4520S"", ""Emulating radiative transfer with artificial neural networks"")",2023-12-1,Simulation,NN:MLP,Galaxies
15,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.3744S"", ""The BarYon Cycle project (ByCycle): identifying and localizing Mg II metal absorbers with machine learning"")",2023-12-1,Object Detection,CNN,Galaxies
17,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.2991H"", ""Star cluster classification using deep transfer learning with PHANGS-HST"")",2023-12-1,Object Classification,CNN:VGG,Star Clusters
18,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1742J"", ""CzSL: Learning from citizen science, experts, and unlabelled data in astronomical Object Classification"")",2023-12-1,Object Classification,CNN,Galaxies
19,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...958..129W"", ""Fast Gravitational-wave Parameter Estimation without Compromises"")",2023-12-1,Prediction,Flow:Normalizing Flow,Gravitational Waves
20,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....166..244Y"", ""Red Giants Search Method Based on Convolutional Neural Networks"")",2023-12-1,Object Detection,CNN:ResNet,Stars
21,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....166..235S"", ""PNet-A Deep Learning Based Photometry and Astrometry Bayesian Framework"")",2023-12-1,Data Processing,CNN+BNN,Instruments/Software/Methods
22,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023RAA....23k5006L"", ""Detecting H I Galaxies with Deep Neural Networks in the Presence of Radio Frequency Interference"")",2023-11-1,Image Segmentation,CNN:RCNN,Galaxies
23,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1559S"", ""Stellar Karaoke: deep blind separation of terrestrial atmospheric effects out of stellar spectra by velocity whitening"")",2023-11-1,Image Segmentation,VAE,Stars
24,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1504S"", ""Solving the pulsar equation using physics-informed neural networks"")",2023-11-1,Simulation,PINNS,Stars
25,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1122M"", ""Detection, instance segmentation, and classification for astronomical surveys with deep learning (DEEPDISC): DETECTRON2 implementation and demonstration with Hyper Suprime-Cam data"")",2023-11-1,Data Processing,Transformer,Instruments/Software/Methods
28,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.6015D"", ""Determining the dark matter distribution in simulated galaxies with deep learning"")",2023-11-1,Prediction,CNN,Dark Matter
29,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.5789K"", ""Asteroseismology of \ensuremath\delta Scuti stars: emulating model grids using a neural network"")",2023-11-1,Simulation,NN:MLP,Stars
31,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4596D"", ""Fundamental parameters of 318 contact binaries from the TESS survey"")",2023-11-1,Prediction,NN:MLP,Stars
32,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.3499C"", ""A neural network emulator for the Lyman-\ensuremath\alpha forest 1D flux power spectrum"")",2023-11-1,Prediction-Regression,NN:MDN,Cosmology
33,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..269....1Z"", ""Machine-learning Inferences of the Interior Structure of Rocky Exoplanets from Bulk Observational Constraints"")",2023-11-1,Statistical Inference,NN:MDN,Planet
34,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...958...68S"", ""Characterizing the Atmospheric Dynamics of HD 209458b-like Hot Jupiters Using AI-driven Image Recognition/Categorization"")",2023-11-1,Object Classification,CNN,Planet
35,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...958...63D"", ""Inferring Coupling Strengths of Mixed-mode Oscillations in Red Giant Stars Using Deep Learning"")",2023-11-1,Prediction-Regression,CNN:CNN+LSTM,Stars
36,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...958...21J"", ""Reconstructing Ly\ensuremath\alpha Fields from Low-resolution Hydrodynamical Simulations with Deep Learning"")",2023-11-1,Data Reconstruction,GAN,Cosmology
38,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....166..210Y"", ""Star Photometry for DECam Legacy Survey and Sloan Digital Sky Survey Images Based on Convolutional Neural Networks"")",2023-11-1,Prediction-Regression,CNN,Instruments/Software/Methods
40,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...679A..59G"", ""Accelerating galaxy dynamical modeling using a neural network for joint lensing and kinematic analyses"")",2023-11-1,Simulation,NN:MLP,Gravitational Lenses
41,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...679A..51I"", ""CHEX-MATE: A non-parametric deep learning technique to deproject and deconvolve galaxy cluster X-ray temperature profiles"")",2023-11-1,Data Reconstruction,AE,Galaxies
43,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108h4027C"", ""Characterizing the temporal evolution of the high-frequency gravitational wave emission for a core collapse supernova with laser interferometric data: A neural network approach"")",2023-10-1,Prediction-Regression,NN:MLP,Gravitational Waves
44,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.3181L"", ""NAUTILUS: boosting Bayesian importance nested sampling with deep learning"")",2023-10-1,Statistical Inference,NN:MLP,Instruments/Software/Methods
45,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.525..311K"", ""On the impact of the galaxy window function on cosmological parameter estimation"")",2023-10-1,Prediction-Regression,NN:MLP,Galaxies
47,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.5368K"", ""Optimizing machine learning methods to discover strong gravitational lenses in the deep lens survey"")",2023-10-1,Object Detection,CNN:ResNet,Gravitational Lenses
48,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.5080S"", ""Depthwise convolutional neural network for multiband automatic quasars classification in ATLAS"")",2023-10-1,Object Classification,CNN,Quasars
49,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..268...59F"", ""Toward Model Compression for a Deep Learning-Based Solar Flare Forecast on Satellites"")",2023-10-1,Model Compression,CNN,Solar
50,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...956..149S"", ""A Universal Equation to Predict \ensuremath\Omega$_m$ from Halo and Galaxy Catalogs"")",2023-10-1,Statistical Inference,GNN,Cosmology
52,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...955..148V"", ""Probabilistic Solar Flare Forecasting Using Historical Magnetogram Data"")",2023-10-1,Prediction,CNN,Solar
53,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...955..131W"", ""Machine-learning Cosmology from Void Properties"")",2023-10-1,Statistical Inference,NN,Cosmology
54,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...955..113X"", ""CMR Exploration. II. Filament Identification with Machine Learning"")",2023-10-1,Object Detection,CNN,Interstellar Medium
55,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....166..151P"", ""Alert Classification for the ALeRCE Broker System: The Anomaly Detector"")",2023-10-1,Anomaly Detection,NN,Instruments/Software/Methods
56,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...678A.198P"", ""Neural network-based emulation of interstellar medium models"")",2023-10-1,Simulation,NN,Interstellar Medium
58,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...678A..64H"", ""Scope and limitations of ad hoc neural network reconstructions of solar wind parameters"")",2023-10-1,Data Reconstruction,NN,Solar
59,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...678A..13G"", ""Nonparametric analysis of the Hubble diagram with neural networks"")",2023-10-1,Prediction-Regression,NN,Cosmology
60,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3522Q"", ""Model-independent measurement of cosmic curvature with the latest H (z ) and SNe Ia data: A comprehensive investigation"")",2023-9-1,Data Reconstruction,NN,Cosmology
61,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3028T"", ""Realizing the potential of deep neural network for analyzing neutron star observables and dense matter equation of state"")",2023-9-1,Prediction,NN,Stars
62,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3021J"", ""Novel neural-network architecture for continuous gravitational waves"")",2023-9-1,Object Detection,CNN,Gravitational Waves
63,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3017Y"", ""Trigger-level event reconstruction for neutrino telescopes using sparse submanifold convolutional neural networks"")",2023-9-1,Data Reconstruction,CNN:SSCNNs,High Energy: Neutrinos
64,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.4653H"", ""Not hydro: using neural networks to estimate galaxy properties on a dark-matter-only simulation"")",2023-9-1,Prediction-Regression,NN,Galaxies
66,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.3068B"", ""Restoration of T80-S telescope's images using neural networks"")",2023-9-1,Image Restoration,CNN,Instruments/Software/Methods
67,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.2407Z"", ""The BACCO simulation project: biased tracers in real space"")",2023-9-1,Simulation,NN,Cosmology
68,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.1746L"", ""Halo assembly bias from a deep learning model of halo formation"")",2023-9-1,Prediction-Regression,CNN,Galaxies
69,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.1374L"", ""Large-step neural network for learning the symplectic evolution from partitioned data"")",2023-9-1,Simulation,NN:LSNN,Planet
70,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524..678D"", ""The VVV near-IR galaxy catalogue in a Northern part of the Galactic disc"")",2023-9-1,Object Detection,CNN,Galaxies
71,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524..643H"", ""Using a neural network approach to accelerate disequilibrium chemistry calculations in exoplanet atmospheres"")",2023-9-1,Prediction-Regression,LSTM,Planet
72,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.524...32U"", ""Modelling force-free neutron star magnetospheres using physics-informed neural networks"")",2023-9-1,Simulation,PINNS,Stars
73,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..268...37W"", ""PSF-based Analysis for Detecting Unresolved Wide Binaries"")",2023-9-1,Object Detection,CNN,Stars
75,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..268...28T"", ""A White Dwarf Search Model Based on a Deep Transfer-learning Method"")",2023-9-1,Object Detection,CNN,Stars
76,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..268....7W"", ""CoLFI: Cosmological Likelihood-free Inference with Neural Density Estimators"")",2023-9-1,Statistical Inference,NN:MDN,Cosmology
77,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...954..201Q"", ""Photo-zSNthesis: Converting Type Ia Supernova Lightcurves to Redshift Estimates via Deep Learning"")",2023-9-1,Prediction-Regression,CNN,Stars
78,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...954..151G"", ""Physics-driven Machine Learning for the Prediction of Coronal Mass Ejections' Travel Times"")",2023-9-1,Prediction-Regression,NN,Solar
79,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...954..149D"", ""Target Selection and Sample Characterization for the DESI LOW-Z Secondary Target Program"")",2023-9-1,Object Detection,CNN,Galaxies
80,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...954..132M"", ""As Simple as Possible but No Simpler: Optimizing the Performance of Neural Net Emulators for Galaxy SED Fitting"")",2023-9-1,Prediction-Regression,NN,Galaxies
82,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...954...86L"", ""MFPIM: A Deep Learning Model Based on Multimodal Fusion Technology for Pulsar Identification"")",2023-9-1,Object Detection,CNN:Attension,Stars
83,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...954...68Z"", ""Identification of Galaxy-Galaxy Strong Lens Candidates in the DECam Local Volume Exploration Survey Using Machine Learning"")",2023-9-1,Object Detection,CNN,Gravitational Lenses
84,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...954...11P"", ""Constraining Cosmology with Machine Learning and Galaxy Clustering: The CAMELS-SAM Suite"")",2023-9-1,Simulation,NN,Cosmology
85,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...954....6G"", ""First Impressions: Early-time Classification of Supernovae Using Host-galaxy Information and Shallow Learning"")",2023-9-1,Object Classification,RNN,Stars
86,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....166..115A"", ""What's the Difference? The Potential for Convolutional Neural Networks for Transient Detection without Template Subtraction"")",2023-9-1,Object Detection,CNN,Transient
87,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....166...88W"", ""Directly Deriving Parameters from SDSS Photometric Images"")",2023-9-1,Statistical Inference,CNN:ConViT,Stars
88,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...677A.167G"", ""Deep-learning-based radiointerferometric imaging with GAN-aided training"")",2023-9-1,Generation,GAN,Galaxies
89,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...677A.158E"", ""Deep learning denoising by dimension reduction: Application to the ORION-B line cubes"")",2023-9-1,Denoising,AE,Interstellar Medium
90,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...677A.121Y"", ""A deep learning approach for automated segmentation of magnetic bright points in the solar photosphere"")",2023-9-1,Image Segmentation,CNN:TransCNN,Solar
91,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...677A.120K"", ""TAU: A neural network based telluric correction framework"")",2023-9-1,Data Processing,AE,Planet
92,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...677A.101G"", ""YOLO-CL: Galaxy cluster detection in the SDSS with deep machine learning"")",2023-9-1,Object Detection,CNN:YOLO,Galaxies
93,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...677A..48N"", ""ExoplANNET: A deep learning algorithm to detect and identify planetary signals in radial velocity data"")",2023-9-1,Object Detection,NN,Planet
94,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...677A..16D"", ""Understanding of the properties of neural network approaches for transient light curve approximations"")",2023-9-1,Simulation,Cosmology,Stars
95,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023RAA....23h5004Z"", ""Attention-Based Deep Learning Model for Image Desaturation of SDO/AIA"")",2023-8-1,Image Restoration,CNN:AANet,Solar
96,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108d3525K"", ""Probing cosmological particle production and pairwise hotspots with deep neural networks"")",2023-8-1,Object Detection,CNN,Cosmology
97,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108d3031C"", ""Decoding neutron star observations: Revealing composition through Bayesian neural networks"")",2023-8-1,Statistical Inference,BNN,Stars
98,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108d3024M"", ""Detecting and denoising gravitational wave signals from binary black holes using deep learning"")",2023-8-1,Object Detection,CNN,Gravitational Waves
99,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.6272C"", ""Effective cosmic density field reconstruction with convolutional neural network"")",2023-8-1,Data Reconstruction,CNN,Cosmology
102,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.4188N"", ""DenseLens - Using DenseNet ensembles and information criteria for finding and rank-ordering strong gravitational lenses"")",2023-8-1,Object Detection,CNN,Gravitational Lenses
103,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.4120D"", ""Hybrid deep learning for blazar classification and correlation search with neutrinos"")",2023-8-1,Object Classification,CNN,AGN
104,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.3219C"", ""Galaxy clustering from the bottom up: a streaming model emulator I"")",2023-8-1,Simulation,NN,Galaxies
105,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..267...45S"", ""Three-day Forecasting of Solar Wind Speed Using SDO/AIA Extreme-ultraviolet Images by a Deep-learning Model"")",2023-8-1,Prediction,CNN,Solar
106,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..267...39W"", ""Searching for Galactic H II Regions from the LAMOST Database Based on the Multihead WDCNN Model"")",2023-8-1,Object Detection,CNN:WDCNN,Galaxies
108,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...953..178P"", ""Hierarchical Inference of the Lensing Convergence from Photometric Catalogs with Bayesian Graph Neural Networks"")",2023-8-1,Statistical Inference,GNN:BGNN,Gravitational Lenses
112,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...952..145J"", ""Field-level Neural Network Emulator for Cosmological N-body Simulations"")",2023-8-1,Simulation,NN,Cosmology
113,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...952..111T"", ""Prediction Capability of Geomagnetic Events from Solar Wind Data Using Neural Networks"")",2023-8-1,Prediction,CNN:CRNN,Solar
114,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....166...74M"", ""Autoencoding Galaxy Spectra. I. Architecture"")",2023-8-1,Data Processing,AE:Conv,Galaxies
115,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...676A..40A"", ""Searching for strong galaxy-scale lenses in galaxy clusters with deep networks. I. Methodology and network performance"")",2023-8-1,Object Detection,CNN,Gravitational Lenses
116,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...676A..30W"", ""Inference of the optical depth to reionization \ensuremath\tau from Planck CMB maps with convolutional neural networks"")",2023-8-1,Statistical Inference,CNN,Cosmology
117,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023RAA....23g5012L"", ""Identifying Host Galaxies of Extragalactic Radio Emission Structures using Machine Learning"")",2023-7-1,Object Classification,CNN,Galaxies
118,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023RAA....23g5011Z"", ""Map Reconstruction of Radio Observations with Conditional Invertible Neural Networks"")",2023-7-1,Data Reconstruction,CNN:cINN,Instruments/Software/Methods
119,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.108b3005M"", ""Convolutional neural network search for long-duration transient gravitational waves from glitching pulsars"")",2023-7-1,Object Detection,CNN,Gravitational Waves
121,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.523.1175K"", ""Predictions of solar activity cycles 25 and 26 using non-linear autoregressive exogenous neural networks"")",2023-7-1,Prediction-Regression,NN:NARX,Solar
122,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.523..233B"", ""A statistical analysis of the structure of the interstellar medium in the disc of the Milky Way"")",2023-7-1,Statistical Inference,CNN,Interstellar Medium
123,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.6043C"", ""Rapid determination of LISA sensitivity to extreme mass ratio inspirals with machine learning"")",2023-7-1,Prediction,NN,Gravitational Waves
125,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.5576W"", ""Scalable precision wide-field imaging in radio interferometry - II. AIRI validated on ASKAP data"")",2023-7-1,Denoising,NN,Galaxies
126,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.5442G"", ""LEMON: LEns MOdelling with Neural networks - I. Automated modelling of strong gravitational lenses with Bayesian Neural Networks"")",2023-7-1,Statistical Inference,BNN,Gravitational Lenses
127,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.5291G"", ""Large-scale density and velocity field reconstructions with neural networks"")",2023-7-1,Data Reconstruction,AE,Cosmology
128,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.4748W"", ""AI-assisted reconstruction of cosmic velocity field from redshift-space spatial distribution of haloes"")",2023-7-1,Data Reconstruction,Unet,Cosmology
129,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.3236R"", ""High-fidelity reproduction of central galaxy joint distributions with neural networks"")",2023-7-1,Statistical Inference,NN,Galaxies
130,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.3201S"", ""Distinguishing a planetary transit from false positives: a Transformer-based classification for planetary transit signals"")",2023-7-1,Object Classification,Transformer,Planet
131,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..267....2Y"", ""Delensing of Cosmic Microwave Background Polarization with Machine Learning"")",2023-7-1,Data Reconstruction,Unet:MIMO-Unet,Cosmology
132,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...952...69D"", ""Robust Field-level Likelihood-free Inference with Galaxies"")",2023-7-1,Statistical Inference,GNN,Galaxies
133,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...952...15Y"", ""Lensing Reconstruction from the Cosmic Microwave Background Polarization with Machine Learning"")",2023-7-1,Data Reconstruction,Unet:RDLFUnet,Cosmology
135,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJ...951....6A"", ""Pixelated Reconstruction of Foreground Density and Background Surface Brightness in Gravitational Lensing Systems Using Recurrent Inference Machines"")",2023-7-1,Data Reconstruction,CNN:RIM,Gravitational Lenses
137,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023AJ....166...28V"", ""Multiplicity Boost of Transit Signal Classifiers: Validation of 69 New Exoplanets using the Multiplicity Boost of ExoMiner"")",2023-7-1,Data Processing,CNN,Planet
138,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...675A.191W"", ""iNNterpol: High-precision interpolation of stellar atmospheres with a deep neural network using a 1D convolutional auto encoder for feature extraction"")",2023-7-1,Prediction-Regression,CNN,Stars
139,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...675A.125B"", ""Modeling lens potentials with continuous neural fields in galaxy-scale strong lenses"")",2023-7-1,Prediction,NN:continuous neural fields,Gravitational Lenses
140,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...675A.116C"", ""Deep learning-based deconvolution for interferometric radio transient reconstruction"")",2023-7-1,Data Reconstruction,CNN,Transient
142,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...675A..50K"", ""(433) Eros and (25143) Itokawa surface properties from reflectance spectra"")",2023-7-1,Object Classification,CNN,Planet
143,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023A&A...675A..26W"", ""Precise masses and ages of  1 million RGB and RC stars observed by LAMOST"")",2023-7-1,Prediction-Regression,NN,Stars
144,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023RAA....23f5013S"", ""Extraction and Analysis of Coronal High-temperature Components Based on Outlier Detection"")",2023-6-1,Anomaly Detection,NN,Solar
146,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023PhRvD.107l3515C"", ""Analysis of dark matter halo structure formation in N -body simulations with machine learning"")",2023-6-1,Object Classification,NN,Dark Matter
147,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522L..31L"", ""Galaxy image deconvolution for weak gravitational lensing with unrolled plug-and-play ADMM"")",2023-6-1,Data Reconstruction,NN:ADMM-Net,Gravitational Lenses
148,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522.1504K"", ""Predicting light curves of RR Lyrae variables using artificial neural network based interpolation of a grid of pulsation models"")",2023-6-1,Prediction-Regression,NN,Stars
149,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.522..292B"", ""Feature guided training and rotational standardization for the morphological classification of radio galaxies"")",2023-6-1,Object Classification,CNN,Galaxies
150,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023MNRAS.521.5384Z"", ""Multiclass solar flare forecasting models with different deep learning algorithms"")",2023-6-1,Prediction,LSTM:HBiLSTM-Attention,Solar
151,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023ApJS..266...19G"", ""Generating Space-based SDO/HMI-like Solar Magnetograms from Ground-based H\ensuremath\alpha Images by Deep Learning"")",2023-6-1,Generation,GAN:cGAN,Solar
